naId,title,start_date,end_date,nara_url,num_images,has_pdf,num_total_objects,pdf_url
183361825,Log of U.S.S. TUSCARORA: 1/10/1878-7/26/1878,,,https://catalog.archives.gov/id/183361825,212,True,213,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-035/581208-tuscarora-035.pdf
183350654,Log of U.S.S. SAVANNAH: 11/6/1863-11/25/1864,,,https://catalog.archives.gov/id/183350654,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-savannah-018/581208-savannah-018.pdf
183349602,Log of U.S.S. SARATOGA: 6/3/1878-12/9/1878,,,https://catalog.archives.gov/id/183349602,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-saratoga-038/581208-saratoga-038.pdf
183349044,Log of U.S.S. SARATOGA: 5/16/1871-10/14/1871,,,https://catalog.archives.gov/id/183349044,169,True,170,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-saratoga-031/581208-saratoga-031.pdf
183348865,Log of U.S.S. SARATOGA: 9/3/1868-2/17/1869,,,https://catalog.archives.gov/id/183348865,177,True,178,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-saratoga-027/581208-saratoga-027.pdf
183348502,Log of U.S.S. SARATOGA: 10/1/1867-3/17/1868,,,https://catalog.archives.gov/id/183348502,180,True,181,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-saratoga-024/581208-saratoga-024.pdf
183346537,Log of U.S.S. SABINE: 6/24/1876-8/16/1876,,,https://catalog.archives.gov/id/183346537,44,True,45,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-027/581208-sabine-027.pdf
183346348,Log of U.S.S. SABINE: 12/10/1875-6/23/1876,,,https://catalog.archives.gov/id/183346348,187,True,188,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-026/581208-sabine-026.pdf
183345934,Log of U.S.S. SABINE: 5/6/1873-11/19/1873,,,https://catalog.archives.gov/id/183345934,208,True,209,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-023/581208-sabine-023.pdf
183344575,Log of U.S.S. SABINE: 7/4/1865-6/20/1866,,,https://catalog.archives.gov/id/183344575,187,True,188,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-012/581208-sabine-012.pdf
183344360,Log of U.S.S. SABINE: 9/17/1862-8/29/1863,,,https://catalog.archives.gov/id/183344360,181,True,182,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-008/581208-sabine-008.pdf
183344075,Log of U.S.S. SABINE: 9/15/1860-7/8/1861,,,https://catalog.archives.gov/id/183344075,151,True,152,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-003/581208-sabine-003.pdf
183342605,Log of U.S.S. ROANOKE: 8/9/1859-5/31/1860,,,https://catalog.archives.gov/id/183342605,153,True,154,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-roanoke-003/581208-roanoke-003.pdf
183342185,Log of U.S.S. QUINNEBAUG: 4/4/1879-10/8/1879,,,https://catalog.archives.gov/id/183342185,210,True,211,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-quinnebaug-010/581208-quinnebaug-010.pdf
183340572,Log of U.S.S. POTOMAC: 2/15/1871-2/1/1872,,,https://catalog.archives.gov/id/183340572,179,True,180,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-potomac-031/581208-potomac-031.pdf
183339576,Log of U.S.S. POTOMAC: 9/19/1863-10/4/1864,,,https://catalog.archives.gov/id/183339576,194,True,195,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-potomac-018/581208-potomac-018.pdf
183338290,Log of U.S.S. PORTSMOUTH: 7/1/1876-8/7/1876,,,https://catalog.archives.gov/id/183338290,51,True,52,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-042/581208-portsmouth-042.pdf
183337687,Log of U.S.S. PORTSMOUTH: 12/8/1869-5/16/1870,,,https://catalog.archives.gov/id/183337687,176,True,177,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-027/581208-portsmouth-027.pdf
183337165,Log of U.S.S. PORTSMOUTH: 5/19/1868-10/15/1868,,,https://catalog.archives.gov/id/183337165,160,True,161,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-024/581208-portsmouth-024.pdf
183333983,Log of U.S.S. OHIO: 6/25/1867-6/8/1868,,,https://catalog.archives.gov/id/183333983,179,True,180,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-ohio-019/581208-ohio-019.pdf
183327776,Log of U.S.S. JUNIATA: 7/1/1886-12/31/1886,,,https://catalog.archives.gov/id/183327776,199,True,200,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-juniata-035/581208-juniata-035.pdf
183326946,Log of U.S.S. JUNIATA: 8/20/1875-2/19/1876,,,https://catalog.archives.gov/id/183326946,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-juniata-026/581208-juniata-026.pdf
183325012,Log of U.S.S. JUNIATA: 1/1/1870-6/30/1870,,,https://catalog.archives.gov/id/183325012,191,True,192,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-juniata-011/581208-juniata-011.pdf
183324535,Log of U.S.S. JUNIATA: 10/1/1866-3/31/1867,,,https://catalog.archives.gov/id/183324535,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-juniata-006/581208-juniata-006.pdf
183324079,Log of U.S.S. JUNIATA: 12/4/1863-12/23/1863,,,https://catalog.archives.gov/id/183324079,13,True,14,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-juniata-002/581208-juniata-002.pdf
183323370,Log of U.S.S. IROQUOIS: 4/1/1873-9/30/1873,,,https://catalog.archives.gov/id/183323370,193,True,194,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-iroquois-020/581208-iroquois-020.pdf
183322226,Log of U.S.S. IROQUOIS: 1/1/1868-6/30/1868,,,https://catalog.archives.gov/id/183322226,191,True,192,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-iroquois-010/581208-iroquois-010.pdf
183317105,Log of U.S.S. CYANE: 2/7/1869-7/7/1869,,,https://catalog.archives.gov/id/183317105,161,True,162,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-cyane-031/581208-cyane-031.pdf
183316920,Log of U.S.S. CYANE: 2/26/1868-8/9/1868,,,https://catalog.archives.gov/id/183316920,183,True,184,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-cyane-028/581208-cyane-028.pdf
183316656,Log of U.S.S. CYANE: 10/23/1865-3/5/1866,,,https://catalog.archives.gov/id/183316656,74,True,75,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-cyane-023/581208-cyane-023.pdf
183316474,Log of U.S.S. CYANE: 9/1/1860-8/13/1861,,,https://catalog.archives.gov/id/183316474,180,True,181,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-cyane-020/581208-cyane-020.pdf
183316280,Log of U.S.S. CONTOOCOOK: 3/14/1868-8/29/1868,,,https://catalog.archives.gov/id/183316280,192,True,193,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-contoocook-001/581208-contoocook-001.pdf
183314781,Log of U.S.S. CONSTELLATION: 3/1/1866-12/20/1868,,,https://catalog.archives.gov/id/183314781,191,True,192,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-constellation-024/581208-constellation-024.pdf
183314479,Log of U.S.S. CONSTELLATION: 2/26/1862-3/15/1863,,,https://catalog.archives.gov/id/183314479,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-constellation-022/581208-constellation-022.pdf
183311686,Log of U.S.S. COLORADO: 12/2/1873-6/17/1874,,,https://catalog.archives.gov/id/183311686,211,True,212,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-colorado-026/581208-colorado-026.pdf
183311224,Log of U.S.S. COLORADO: 7/1/1871-12/31/1871,,,https://catalog.archives.gov/id/183311224,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-colorado-020/581208-colorado-020.pdf
183310514,Log of U.S.S. COLORADO: 5/25/1865-5/14/1866,,,https://catalog.archives.gov/id/183310514,188,True,189,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-colorado-008/581208-colorado-008.pdf
183310127,Log of U.S.S. COLORADO: 11/10/1862-11/20/1863,,,https://catalog.archives.gov/id/183310127,293,True,294,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-colorado-004/581208-colorado-004.pdf
169814323,Log of U.S.S. WYOMING: 3/31/1881-6/2/1881,,,https://catalog.archives.gov/id/169814323,74,True,75,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-028/581208-wyoming-028.pdf
169814111,Log of U.S.S. WYOMING: 9/13/1880-3/30/1881,,,https://catalog.archives.gov/id/169814111,210,True,211,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-027/581208-wyoming-027.pdf
169813898,Log of U.S.S. WYOMING: 3/9/1880-9/12/1880,,,https://catalog.archives.gov/id/169813898,211,True,212,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-026/581208-wyoming-026.pdf
169811968,Log of U.S.S. WYOMING: 11/4/1871-5/22/1872,,,https://catalog.archives.gov/id/169811968,214,True,215,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-012/581208-wyoming-012.pdf
169811708,Log of U.S.S. WYOMING: 7/1/1867-12/31/1867,,,https://catalog.archives.gov/id/169811708,205,True,206,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-009/581208-wyoming-009.pdf
169809561,Log of U.S.S. WACHUSETT: 1/15/1883-7/29/1883,,,https://catalog.archives.gov/id/169809561,207,True,208,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-030/581208-wachusett-030.pdf
169808806,Log of U.S.S. WACHUSETT: 6/30/1881-1/5/1882,,,https://catalog.archives.gov/id/169808806,236,True,237,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-026/581208-wachusett-026.pdf
169806791,Log of U.S.S. WACHUSETT: 7/1/1872-12/31/1872,,,https://catalog.archives.gov/id/169806791,197,True,198,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-015/581208-wachusett-015.pdf
169806589,Log of U.S.S. WACHUSETT: 12/19/1871-6/30/1872,,,https://catalog.archives.gov/id/169806589,200,True,201,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-013/581208-wachusett-013.pdf
169805947,Log of U.S.S. WACHUSETT: 1/1/1867-6/30/1867,,,https://catalog.archives.gov/id/169805947,184,True,185,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-007/581208-wachusett-007.pdf
